iter	Passed	Remaining
402	13573	20107
403	13610	20079
404	13656	20062
405	13693	20035
406	13729	20003
407	13763	19970
408	13798	19938
409	13832	19905
410	13865	19871
411	13899	19836
412	13934	19804
413	13967	19770
414	14004	19741
415	14038	19707
416	14071	19672
417	14104	19638
418	14137	19602
419	14172	19572
420	14206	19538
421	14239	19503
422	14272	19469
423	14306	19435
424	14340	19401
425	14373	19367
426	14407	19333
427	14440	19298
428	14472	19262
429	14504	19227
430	14539	19194
431	14572	19160
432	14605	19126
433	14638	19091
434	14672	19057
435	14706	19023
436	14739	18988
437	14773	18955
438	14807	18922
439	14840	18888
440	14873	18853
441	14907	18819
442	14941	18786
443	14976	18753
444	15010	18721
445	15045	18688
446	15081	18658
447	15124	18635
448	15162	18607
449	15195	18572
450	15232	18542
451	15265	18508
452	15299	18474
453	15332	18439
454	15366	18406
455	15400	18372
456	15434	18339
457	15468	18304
458	15501	18270
459	15536	18238
460	15571	18205
461	15605	18172
462	15637	18137
463	15672	18104
464	15704	18068
465	15737	18033
466	15773	18002
467	15806	17968
468	15839	17933
469	15875	17901
470	15909	17868
471	15942	17834
472	15976	17800
473	16009	17765
474	16043	17732
475	16077	17698
476	16111	17664
477	16145	17631
478	16178	17596
479	16211	17562
480	16245	17528
481	16277	17493
482	16312	17460
483	16346	17427
484	16379	17392
485	16413	17359
486	16447	17326
487	16483	17294
488	16517	17261
489	16553	17229
490	16587	17195
491	16621	17161
492	16654	17126
493	16687	17092
494	16719	17057
495	16752	17023
496	16786	16989
497	16821	16956
498	16856	16923
499	16890	16890
500	16922	16855
501	16955	16820
502	16989	16786
503	17024	16753
504	17065	16727
505	17120	16714
506	17174	16700
507	17221	16679
508	17255	16644
509	17288	16610
510	17324	16578
511	17357	16543
512	17390	16508
513	17422	16473
514	17455	16438
515	17489	16405
516	17523	16371
517	17560	16340
518	17595	16306
519	17629	16273
520	17661	16238
521	17695	16204
522	17728	16169
523	17762	16135
524	17796	16101
525	17830	16067
526	17865	16034
527	17899	16001
528	17933	15967
529	17966	15932
530	18000	15898
531	18032	15863
532	18066	15829
533	18100	15795
534	18133	15760
535	18167	15726
536	18201	15693
537	18234	15659
538	18268	15624
539	18302	15590
540	18335	15556
541	18368	15522
542	18403	15488
543	18436	15454
544	18470	15419
